Código,Data Início,Data Fim,TÍTULO DO PROJETO,Tipo,Órgão financiador, Coordenador/Coordenador Local,UA Coordenador,Situação
PVDI288-2022,01/08/2022,31/07/2025,"APLICAÇÃO DA QUÍMICA COMPUTACIONAL AO DESENVOLVIMENTO DE COMPOSTOS POTENCIALMENTE BIOATIVOS: planejamento racional, análise conformacional, docking e dinâmica molecular, QM/MM e investigação de orbitais de fronteira",Projeto sem financiamento externo,Não possui,DANIEL HENRIQUES SOARES LEAL,IFQ,Expirado
PVDI301-2022,01/03/2022,31/07/2025,Correlação entre rota de processamento de ligas de alumínio com resistência a corrosão e a evolução de hidrogênio,Projeto com financiamento externo,CNPq,MIRIAN DE LOURDES NORONHA MOTTA MELO,IEM,Expirado
PVDI306-2022,08/08/2022,31/08/2025,Proposta de Apoio à Formação de Mestres para o Fortalecimento do Programa de Pós-graduação em Engenharia Mecânica da UNIFEI,Projeto com financiamento externo,CNPq,SANDRO METREVELLE MARCONDES DE LIMA E SILVA,IEM,Expirado
PIDI311-2023,13/09/2022,15/03/2027,Estudo da texturização a laser na adesão de uma junta híbrida metal-compósito,Projeto com financiamento externo,FAPEMIG,RENATA NEVES PENHA,IEM,Vigente
PVDI314-2023,01/03/2023,30/03/2026,Aprimoramento de Cerâmicas Termoelétricas para Conversão de Energia: Aspectos Teóricos e Experimentais,Projeto com financiamento externo,FAPEMIG,MARIA VIRGINIA GELFUSO,IEM,Vigente
PVDI315-2022,13/10/2022,01/01/2026,A Sustentabilidade da Mobilidade Urbana em Cidades Mineiras no Contexto atual e de Pós Pandemia,Projeto com financiamento externo,FAPEMIG,JOSIANE PALMA LIMA,IEPG,Expirado
"PVDI316-2021
",23/09/2021,22/09/2025,BIG DATA E ANÁLISE ESPACIAL NA INTEGRAÇÃO DA MICROMOBILIDADE E TRANSPORTE PÚBLICO URBANO NO CONTEXTO DE SMART CITIES,Projeto com financiamento externo,B2ML SISTEMAS LTDA,JOSIANE PALMA LIMA,IEPG,Expirado
PIDI317-2022,09/06/2022,08/06/2026,AVALIAÇÃO TEÓRICO-EXPERIMENTAL DA PRODUÇÃO E USO DE HIDROGÊNIO VERDE EM MINAS GERAIS,Projeto com financiamento externo,FAPEMIG,JOSE CARLOS ESCOBAR PALACIO,IEPG,Vigente
PVDI328-2022,07/12/2022,31/12/2026,Integração de sistema hibrido Heliotérmico-Biomassa visando o uso de sistemas armazenamento de energia,Projeto com financiamento externo,CNPq,VLADIMIR RAFAEL MELIAN COBAS,IEM,Vigente
PIDI327-2022,07/12/2022,07/12/2025,Materiais Poliméricos Associados à Lantanídeos: Aplicações em Materiais Inteligentes,Projeto com financiamento externo,FAPEMIG,FREDERICO BARROS DE SOUSA,IFQ,Expirado
PVDI331-2022,16/12/2022,31/12/2026,Laboratório Nacional para Estudos Micrometeorológicos e Metodológicos Aplicado ao Aproveitamento Energético Offshore (LabWind),Projeto com financiamento externo,CNPq,ARCILAN TREVENZOLI ASSIREU,IRN,Vigente
PVDI347-2023,01/03/2023,28/02/2026,Investigando a massa de aglomerados abertos com GAIA DR3,Projeto com financiamento externo,CNPq,HEKTOR STHENOS ALVES MONTEIRO,IFQ,Vigente
PVDI346-2023,11/12/2022,31/12/2026,Projeto de Otimização de Turbina Axial de Ultra Baixa Queda,Projeto com financiamento externo,CNPq,RAMIRO GUSTAVO RAMIREZ CAMACHO,IEM,Vigente
PVDI358-2022,18/11/2022,17/11/2025,Monitoramento da integridade estrutural: detecção e identificação de delaminações em estruturas aeronáuticas por meio decorrelação digital de imagens,Projeto com financiamento externo,CNPq,GUILHERME FERREIRA GOMES,IEM,Expirado
PVDI359-2023,01/03/2023,28/02/2026,Técnicas Avançadas de Otimização Mono e Multiobjetivo Aplicadas ao Projeto de Estruturas Mecânica,Projeto com financiamento externo,CNPq,GUILHERME FERREIRA GOMES,IEM,Vigente
PVDI369-2023,01/03/2023,28/02/2026,Reciclagem do aço Vanadis 8 pelo processo de metalurgia do pó utilizando a moagem de alta energia,Projeto com financiamento externo,CNPq,GILBERT SILVA,IEM,Vigente
PVDI378-2023,01/03/2023,28/02/2026,Modelos análogos da gravitação e ondas gravitacionais,Projeto com financiamento externo,CNPq,EDUARDO HENRIQUE SILVA BITTENCOURT,IFQ,Vigente
PVDI381-2023,01/03/2023,28/02/2027,Logística e Transportes: Da Sustentabilidade para a Economia Circular,Projeto com financiamento externo,CNPq,RENATO DA SILVA LIMA,IEPG,Vigente
PVDI386-2022,06/12/2022,31/12/2025,Desenvolvimento de materiais e processos para impressão 3D de peças em compósito fibra de carbono contínuo/termoplástico de qualidade aeronáutica,Projeto com financiamento externo,CNPq,ANTONIO CARLOS ANCELOTTI JUNIOR,IEM,Expirado
PIDI391-2023,01/03/2023,28/02/2027,"IMPACTOS DA BIOINCRUSTAÇÃO DE Limnoperna fortunei (DUNKER, 1857) NA GERAÇÃO HIDRELÉTRICA BRASILEIRA",Projeto com financiamento externo,CNPq,CARLOS BARREIRA MARTINEZ,IEM,Vigente
PVDI361-2023,01/06/2023,31/05/2026,Análise de viabilidade de projeto e implementação de processadores RISC-V em FPGA,Projeto sem financiamento externo,Não possui,GUSTAVO DELLA COLLETTA,IESTI,Vigente
PVDI363-2023,01/06/2023,31/05/2026,"Estudo e implementação de balanceamento ""sensorless"" das tensões de submódulos em topologias modulares multiníveis",Projeto sem financiamento externo,Não possui,WILSON CÉSAR SANT`ANA,IESTI,Vigente
PVDI368-2023,01/06/2023,31/05/2026,Desenvolvimento de sistemas de modulação com alta eficiência para comunicações de longas distâncias,Projeto sem financiamento externo,Não possui,DECIO RENNO DE MENDONCA FARIA,IESTI,Vigente
PIDI372-2023,01/06/2023,31/05/2026,Investigação de limites teóricos na multiplicação de matrizes com enfoque em geometria algébrica e aprendizado de máquina,Projeto sem financiamento externo,Não possui,RICK ANTONIO RISCHTER,IMC,Vigente
PIDI374-2023,01/06/2023,31/05/2026,Avaliação de risco ambiental de contaminantes presentes na água e no solo: Uma abordagem integrativa e ecologicamente relevante,Projeto sem financiamento externo,Não possui,DANIEL CLEMENTE VIEIRA REGO DA SILVA,IRN,Vigente
PVDI408-2022,20/09/2022,22/09/2025,Correlação entre rota de processamento de ligas de alumínio com resistência a corrosão e a evolução de hidrogênio - APQ 01318-22,Projeto com financiamento externo,FAPEMIG,MIRIAN DE LOURDES NORONHA MOTTA MELO,IEM,Expirado
PVDI407-2023,01/03/2023,31/07/2026,"Projeto e desenvolvimento de um equipamento para preparação de substratos para produção de cogumelos, com ênfase nos princípios da economia circular (EC) e projeto para manufatura e montagem (DFMA) - Chamada CNPq Nº 08/2022 – Bolsa de Produtividade em Desenvolvimento Tecnológico e Extensão Inovadora - DT",Projeto com financiamento externo,CNPq,CARLOS HENRIQUE PEREIRA MELLO,IEPG,Vigente
PVDI362-2023,01/06/2023,31/05/2026,Análise da relação do envelhecimento do para-raios sobre a distância elétrica de proteção,Projeto sem financiamento externo,Não possui,CREDSON DE SALLES,ISEE,Vigente
PVDI333-2023,01/06/2023,31/05/2026,Aprimoramento dos geradores de impulso do LAT-EFEI,Projeto sem financiamento externo,Não possui,ESTACIO TAVARES WANDERLEY NETO,ISEE,Vigente
PVDI336-2023,01/06/2023,31/05/2026,"REGIONALIDADES, ECONOMIA E CULTURA: Reflexões sobre o desenvolvimento do território do Sul de Minas Gerais",Projeto sem financiamento externo,Não possui,CARLOS ALBERTO MAXIMO PIMENTA,IEPG,Vigente
PVDI337-2023,01/06/2023,31/05/2026,"Agricultura familiar e desenvolvimento rural no sul de Minas: expressividade sócio econômica, gestão e políticas públicas",Projeto sem financiamento externo,Não possui,VIVIANE GUIMARAES PEREIRA,IEPG,Vigente
PIDI411-2022,26/12/2022,31/05/2026,"BENEFÍCIOS DA IMPLEMENTAÇÃO TÉCNICAS COMPENSATÓRIAS NA MITIGAÇÃO DOS PROBLEMAS CAUSADOS PELAS MUDANÇAS CLIMÁTICAS, ATRAVÉS DA GESTÃO DOS ASPECTOS QUALI-QUANTITATIVOS DA DRENAGEM URBANA NO MUNICÍPIO DE CURITIBA – PARANÁ - BRASIL",Projeto sem financiamento externo,Não possui,MARINA BATALINI DE MACEDO,IRN,Vigente
PVDI409-2023,01/03/2023,31/07/2026,AVANÇOS TECNOLÓGICOS E APOIO À DECISÃO - DESAFIOS E OPORTUNIDADES PARA A MOBILIDADE URBANA SUSTENTÁVEL E INTELIGENTE,Projeto com financiamento externo,CNPq,JOSIANE PALMA LIMA,IEPG,Vigente
PIDI364-2023,01/06/2023,31/05/2026,Análise de componentes metálicos submetidos ao processo de roleteamento externo.,Projeto sem financiamento externo,Não possui,JEAN CARLO CESCON PEREIRA,IEM,Vigente
PIDI344-2023,01/06/2023,31/05/2026,PREPARO DE LIPOSSOMAS CONTENDO VANCOMICINA E CIPROFLOXACINA: POTENCIAL ATIVIDADE ANTIMICROBIANA E ANTIBIOFILME PARA TRATAMENTO DE FERIDAS,Projeto sem financiamento externo,Não possui,DANIELA SACHS,IFQ,Vigente
PVDI366-2023,01/06/2023,31/05/2026,Efeito de Fotocondutividade em nano-filmes de Isolante Topológico Bi2Te3,Projeto sem financiamento externo,Não possui,SUELEN DE CASTRO,IFQ,Vigente
PVDI370-2023,01/06/2023,31/05/2026,A Abordagem Temática na Educação em Ciências: possibilidades para a inserção das questões socioambientais na Educação Básica,Projeto sem financiamento externo,Não possui,DANIELLE APARECIDA REIS LEITE,IFQ,Vigente
PVDI417-2022,12/09/2022,15/09/2026,"SÍNTESE, CARACTERIZAÇÃO, AVALIAÇÃO IN VITRO, IN VIVO E ESTUDOS IN SÍLICO DE NOVOS DERIVADOS DO PROTÓTIPO GIB24: POTENCIAIS AGENTES CONTRA A DOENÇA DE CHAGAS",Projeto com financiamento externo,FAPEMIG,MAURICIO FROTA SARAIVA,IFQ,Vigente
PVDI427-2022,14/12/2022,14/12/2025,"Motor bi-fuel de alta eficiência a etanol e biometano para aplicação em veículos comerciais leves: testes experimentais, hibridização, dual-fuel com H2 verde e análise da pegada de carbono.",Projeto com financiamento externo,FUNDEP,CHRISTIAN JEREMI CORONADO RODRIGUEZ,IEM,Expirado
PVDI410-2022,01/11/2022,01/03/2026,Estudos integrados sobre Desenvolvimento Urbano e Tecnologias Sociais no contexto de cidades inteligentes e sustentáveis,Projeto com financiamento externo,CAPES,JOSIANE PALMA LIMA,IEPG,Vigente
PVDI563-2022,13/12/2022,31/12/2025,TRANSPORTE 4.0: IMPACTOS NA LOGÍSTICA E MOBILIDADE URBANAS,Projeto com financiamento externo,CNPq,RENATO DA SILVA LIMA,,Expirado
PVDI580-2022,11/06/2022,10/06/2026,Rede Mineira de Matemática (RMMAT-MG),Projeto com financiamento externo,FAPEMIG,DENIS DE CARVALHO BRAGA,IMC,Vigente
PVDI393-2023,01/08/2023,31/07/2026,Integração da Inteligência Artificial com a Simulação Baseada em Agentes,Projeto sem financiamento externo,Não possui,ALEXANDRE FERREIRA DE PINHO,IEPG,Vigente
PVDI383-2023,01/08/2023,31/07/2026,"AVALIAÇÃO DO NÍVEL DE ALFABETIZAÇÃO FINANCEIRA DA COMUNIDADE ACADÊMICA DE UM INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA",Projeto sem financiamento externo,Não possui,ANDRE LUIZ MEDEIROS,IEPG,Vigente
PVDI387-2023,01/08/2023,31/07/2026,ECONOMIA CIRCULAR NA CADEIA DE SUPRIMENTOS: UMA ABORDAGEM MULTIMÉTODOS,Projeto sem financiamento externo,Não possui,JENIFFER DE NADAE,IEPG,Vigente
PIDI400-2023,01/08/2023,31/07/2026,Elaboração e condução do Planejamento Estratégico das atividades desenvolvidas por Programas de Educação Tutorial (PET) UNIFEI – Campus Itajubá,Projeto sem financiamento externo,Não possui,JULIANA HELENA DAROZ GAUDENCIO,IEPG,Vigente
PVDI396-2023,01/08/2023,31/07/2026,Simulação Numérica de Escoamentos com Efeitos Combinados de Rugosidade Superficial e Transferência de Calor por Convecção Mista,Projeto sem financiamento externo,Não possui,LUIZ ANTONIO ALCANTARA PEREIRA,IEM,Vigente
PIDI403-2023,01/08/2023,31/07/2026,Soluções ópticas para sistemas repetidores de RF em frequência única,Projeto sem financiamento externo,Não possui,RAMON MAIA BORGES,IESTI,Vigente
PVDI384-2023,01/08/2023,31/07/2026,Implementação de Circuitos Neuromórficos Digitais utilizando a Arquitetura Extreme Learning Machine,Projeto sem financiamento externo,Não possui,GABRIEL ANTONIO FANELLI DE SOUZA,IESTI,Vigente
PIDI380-2023,01/08/2023,31/07/2026,Planejamento e Síntese de Derivados Heterocíclicos para Avaliação de Atividades Antiprotozoárias,Projeto sem financiamento externo,Não possui,MAURICIO SILVA DOS SANTOS,IFQ,Vigente
PVDI394-2023,01/08/2023,31/07/2026,Conversas com um cientista: encontros de alunos do ensino básico regular com um pesquisador da área de ciência dos materiais.,Projeto sem financiamento externo,Não possui,NEWTON DE FIGUEIREDO FILHO,IFQ,Vigente
PVDI376-2023,01/08/2023,31/07/2026,"MENINAS E MULHERES COM DEFICIÊNCIA: EDUCAÇÃO, CIÊNCIA E TECNOLOGIA",Projeto sem financiamento externo,Não possui,PALOMA ALINNE ALVES RODRIGUES,IFQ,Vigente
PIDI401-2023,01/08/2023,31/07/2026,"Desenvolvimento de Jogos Educativos para o Ensino de Lógica e Fundamentos de Programação: uma Abordagem com Foco no Game Design, no Entretenimento e no Conteúdo Pedagógico",Projeto sem financiamento externo,Não possui,PHYLLIPE DE SOUZA LIMA FRANCISCO,IMC,Vigente
PIDI404-2023,01/08/2023,31/07/2026,Café para todos: um estudo sobre a disponibilização de dados para apoiar a tomada de decisão no ciclo produtivo do café,Projeto sem financiamento externo,Não possui,MELISE MARIA VEIGA DE PAULA,IMC,Vigente
PVDI406-2023,01/08/2023,31/07/2026,Um estudo da transferência de aprendizado empregando modelos de aprendizado profundo,Projeto sem financiamento externo,Não possui,ISABELA NEVES DRUMMOND,IMC,Vigente
PVDI415-2023,01/08/2023,31/07/2026,Implementação de resultados de Pesquisas em Resolução e Proposição de Problemas: parcerias de coaprendizagem na formação de professores de matemática.,Projeto sem financiamento externo,Não possui,FLAVIA SUELI FABIANI MARCATTO,IMC,Vigente
PIDI392-2023,01/08/2023,31/07/2026,UTILIZAÇÃO DA LIGNINA COMO PLATAFORMA QUÍMICA PARA OBTENÇÃO DE PRODUTOS COM VALOR AGREGADO,Projeto sem financiamento externo,Não possui,JOSE RENATO GUIMARAES,IRN,Vigente
PIDI402-2023,01/08/2023,31/07/2026,Modelagem e simulação por fluidodinâmica computacional do processo de secagem de biomassas,Projeto sem financiamento externo,Não possui,MAXIMILIAN JOACHIM HODAPP,IRN,Vigente
PVDI377-2023,01/08/2023,31/07/2026,Microbiologia aplicada a trilhas ecológicas: bioindicadores e funcionalidade de ecossistemas,Projeto sem financiamento externo,Não possui,ROGERIO MELLONI,IRN,Vigente
PVDI385-2023,01/08/2023,31/07/2026,Qualidade dos Estudos de Impacto Ambiental e a preservação da qualidade ambiental,Projeto sem financiamento externo,Não possui,MARIA RITA RAIMUNDO E ALMEIDA,IRN,Vigente
PVDI399-2023,01/08/2023,31/07/2026,Investigação dos Impactos 3D nos Sistemas Elétricos Brasileiros,Projeto sem financiamento externo,Não possui,CLAUDIA ELIANE DA MATTA,ISEE,Vigente
PVDI426-2023,07/08/2023,07/08/2027,PREVISÃO DE PARÂMETROS ESTRUTURAIS E DE CUSTO DE MODELOS FABRICADOS VIA MANUFATURA ADITIVA POR MEIO DE TÉCNICAS DE DEEP LEARNING,Projeto com financiamento externo,FAPEMIG,MATHEUS BRENDON FRANCISCO,IEPG,Vigente
PVDI429-2023,05/08/2023,05/08/2027,Produção de H2 Verde em escala de laboratório a partir de sistemas solares FV e Testes Experimentais dual-fuel em motor multicilíndrico usando H2 Verde e HVO (diesel verde) importado e/ou produzido em laboratório,Projeto com financiamento externo,FAPEMIG,CHRISTIAN JEREMI CORONADO RODRIGUEZ,IEM,Vigente
PVDI449-2023,11/10/2023,09/10/2026,ESTUDOS EM MECÂNICA CELESTE: CONFIGURAÇÕES CENTRAIS E O PROBLEMA DE N CORPOS,Projeto com financiamento externo,FAPEMIG,Luis Fernando de Osório Mello,IMC,Vigente
PVDI450-2023,01/03/2023,31/07/2026,Modelos análogos em meios óticos,Projeto com financiamento externo,CNPq,VITORIO ALBERTO DE LORENCI,IFQ,Vigente
PVDI451-2023,22/08/2023,21/08/2025,Dinâmica e ruptura de bolhas de hidrogênio em microcanais com junções em T e em Y,Projeto com financiamento externo,FAPEMIG,ANA LUCIA FERNANDES DE LIMA E SILVA,IEM,Expirado
PIDI422-2023,01/11/2023,31/10/2026,Mapeamento da cafeicultura do Sul de Minas utilizando dados do Brazil Data Cube e Inteligência Artificial,Projeto sem financiamento externo,Não possui,VANESSA CRISTINA OLIVEIRA DE SOUZA,IMC,Vigente
PVDI431-2023,01/11/2023,31/10/2026,Órbitas periódicas e toros invariantes em R^N,Projeto sem financiamento externo,Não possui,BRAULIO AUGUSTO GARCIA,IMC,Vigente
PIDI423-2023,01/11/2023,31/10/2026,Desenvolvimento de uma ferramenta de aprendizado de máquina baseada em k-mer para identificação de genomas de arbovírus,Projeto sem financiamento externo,Não possui,LUIZ CARLOS BERTUCCI BARBOSA,IRN,Vigente
PIDI428-2023,01/11/2023,31/10/2026,Controle de Emissões de Sistemas de Esgoto: Telhado Verde Fotovoltaico para Cidade Resiliente e Sustentável,Projeto sem financiamento externo,Não possui,HERLANE COSTA CALHEIROS,IRN,Vigente
PIDI438-2023,01/11/2023,31/10/2026,Revestimento de ligas a base de molibdênio com camadas de alta resistência à oxidação obtidas por HAPC (Halide Activated Pack Cementation),Projeto sem financiamento externo,Não possui,MARCIA REGINA BALDISSERA RODRIGUES,IRN,Vigente
PVDI436-2023,01/11/2023,31/10/2026,"FERRAMENTAS COMPUTACIONAIS PARA MODELAGEM, SIMULAÇÃO E ANÁLISE DE DADOS NA ENGENHARIA DE BIOPROCESSOS",Projeto sem financiamento externo,Não possui,GUILHERME YOUSSEF RODRIGUEZ,IRN,Vigente
PVDI445-2023,01/11/2023,31/10/2026,"Análise multitemporal do uso e ocupação do solo na microbacia hidrográfica do ribeirão José Pereira, no município de Itajubá (MG)",Projeto sem financiamento externo,Não possui,NIVEA ADRIANA DIAS PONS,IRN,Vigente
PVDI416-2023,01/11/2023,31/10/2026,Estudo de vulnerabilidades e aplicação de WASM,Projeto sem financiamento externo,Não possui,BRUNO TARDIOLE KUEHNE,IESTI,Vigente
PVDI442-2023,01/11/2023,31/10/2026,Desenvolvimento de Dispositivo Centralizado de Proteção e Controle para uma Subestação 4.0 – CPC-Unifei,Projeto sem financiamento externo,Não possui,CARLOS ALBERTO VILLEGAS GUERRERO,ISEE,Vigente
PVDI443-2023,01/11/2023,31/10/2026,Eletromobilidade urbana: impacto da tecnologia de recarga dinâmica de veículos elétricos nas redes de distribuição elétrica de centros urbanos,Projeto sem financiamento externo,Não possui,ELIANE VALENCA NASCIMENTO DE LORENCI,ISEE,Vigente
PIDI418-2023,01/11/2023,31/10/2026,Fabricação de eletrodos de silício nanoestruturado para uso em baterias de lítio e sódio,Projeto sem financiamento externo,Não possui,DANILO ROQUE HUANCA,IFQ,Vigente
PVDI441-2023,01/11/2023,31/10/2026,Estudos da geração de energia à partir do tratamento de resíduos por acoplamento de diferentes processos,Projeto sem financiamento externo,Não possui,MILADY RENATA APOLINARIO DA SILVA,IFQ,Vigente
PVDI425-2023,01/11/2023,31/10/2026,MICROPLÁSTICOS COMO VETORES DE TRANPORTE DE CONTAMINANTES EMERGENTES NO RESERVATÓRIO DE FURNAS (MG) ,Projeto sem financiamento externo,Não possui,SANDRO JOSE DE ANDRADE,IFQ,Vigente
PVDI414-2023,01/11/2023,31/10/2026,A utilização de experimentos controlados remotamente no Ensino de Ciências: um levantamento das principais demandas formativas dos docentes ,Projeto sem financiamento externo,Não possui,THIAGO COSTA CAETANO,IFQ,Vigente
PVDI457-2023,02/12/2023,31/12/2026,Novos protótipos pirazólicos e inibidores de FAK como estratégias para o tratamento da doença de Chagas,Projeto com financiamento externo,CNPq,MAURICIO SILVA DOS SANTOS,IFQ,Vigente
PVDI458-2023,08/08/2023,31/08/2026,"MAPEAMENTO DO POTENCIAL TÉCNICO, ECONÔMICO E AMBIENTAL DE ALTERNATIVAS PARA DESCARBONIZAÇÃO DO SETOR INDUSTRIAL MINEIRO ATRAVÉS DO USO DE HIDROGÊNIO RENOVÁVEL E/OU GÁS NATURAL SINTÉTICO”",Projeto com financiamento externo,FAPEMIG,Osvaldo José Venturini,IEM,Vigente
PVDI459-2023,01/04/2023,31/03/2026,Dinâmica e controlabilidade em problemas de reação e difusão dos tipos mono-estável e bi-estável,Projeto com financiamento externo,CNPq,MAICON SONEGO,IMC,Vigente
PIDI460-2023,23/11/2023,22/11/2026,Desenvolvimento e otimização de um sistema catalítico heterogêneo para a produção contínua de fruto-oligossacarídeos utilizando impressão 3D e fluidodinâmica computacional.,Projeto com financiamento externo,CNPq,MAXIMILIAN JOACHIM HODAPP,IRN,Vigente
PVDI461-2023,01/09/2023,01/09/2025,DESENVOLVIMENTO DE MATERIAIS E DISPOSITIVOS TERMOELÉTRICOS PARA RECICLAGEM DE ENERGIA,Projeto com financiamento externo,FAPEMIG,MARIA VIRGINIA GELFUSO,IEM,Expirado
PVDI462-2023,23/11/2023,22/11/2026,Desenvolvimento de uma Base de Dados Termodinâmica para Ligas Multicomponentes do Sistema V-Zr-Nb-Hf-Cr,Projeto com financiamento externo,CNPq,ANTONIO AUGUSTO ARAUJO PINTO DA SILVA,IEM,Vigente
PVDI456-2024,02/01/2024,31/01/2026,Gestão térmica de um eletrolisador alcalino para melhorar e eficiência na produção de hidrogênio verde e recuperação de calor residual,Projeto com financiamento externo,CNPq,JUAN JOSE GARCIA PABON,IEM,Expirado
PVDI464-2024,28/02/2024,28/02/2027,"O CONHECIMENTO MATEMÁTICO PRÓPRIO DA DOCÊNCIA NA PESQUISA EM EDUCAÇÃO MATEMÁTICA: a necessária renovação da formação de professore(a)s, tendo em vista a profissão",Projeto com financiamento externo,CNPq,ELIANE MATESCO CRISTOVAO,IMC,Vigente
PVDI465-2023,01/09/2023,31/08/2026,Eventos climáticos extremos no Sul de Minas Gerais: Projeções Futuras na Escala de Convecção Permitida,Projeto com financiamento externo,FAPEMIG,Michelle Simões Reboita,IRN,Vigente
"PVDI463-2024
",26/02/2024,31/12/2028,"PET: Formação de Professores em Ciências Exatas
",Projeto com financiamento externo,CAPES,ADHIMAR FLAVIO OLIVEIRA	,IFQ,Vigente
PVDI468-2023,11/12/2023,31/12/2026,A Expossoma da América do Sul: caracterização e perspectivas futuras para a saúde da pele e dos cabelos,Projeto com financiamento externo,CNPq,MARCELO DE PAULA CORREA,IRN,Vigente
PVDI466-2023,30/10/2023,29/10/2025,Estudos avançados em limpeza e condicionamento de gás de síntese oriundo da gaseificação de biomassa para geração de novos combustíveis sintéticos,Projeto com financiamento externo,FAPEMIG,DIEGO MAURICIO YEPES MAYA,IEM,Expirado
PVDI470-2024,01/03/2024,28/02/2027,O índice da expossoma extrínseca: Uma ferramenta para avaliar os efeitos da exposição cotidiana sobre a saúde da pele e dos cabelos,Projeto com financiamento externo,CNPq,MARCELO DE PAULA CORREA,IRN,Vigente
PVDI479-2023,10/10/2023,28/02/2027,MultI-waveleNgth investigation Of planeTAry nebUlae pRoblems,Projeto com financiamento externo,União Européia,HEKTOR STHENOS ALVES MONTEIRO,IFQ,Vigente
PIDI491-2024,01/01/2024,01/01/2027,Rede de Herbários preenchendo lacunas de conhecimento: inventários e compilação da diversidade vegetal em relictos ambientais negligenciados nas serras e montanhas mineiras,Projeto com financiamento externo,FAPEMIG,HISAIAS DE SOUZA ALMEIDA,IRN,Vigente
PVDI489-2024,13/03/2024,13/03/2029,"COMO AS TRINCAS NO FRUTO DA CASTANHA-DO-PARÁ PODEM FUNCIONAR COMO MECANISMOS DE TENACIFICAÇÃO RESULTANDO EM UMA CÁPSULA PROTETORA EXTRAORDINÁRIA? ('How can the cracks in the Brazil nut fruit work as toughening mechanisms leading to an outstanding protective capsule? "")",Projeto com financiamento externo,FAPEMIG/INSTITUTO SERRAPILHEIRA,MARILIA SONEGO,IEM,Vigente
PVDI493-2024,01/03/2024,31/07/2027,Análise Experimental e Numérica em Transferência de Calor com Ênfase no Uso de Problemas Inversos,Projeto com financiamento externo,CNPq,SANDRO METREVELLE MARCONDES DE LIMA E SILVA,IEM,Vigente
PVDI490-2023,29/08/2023,28/08/2026,A produção acadêmica em Educação Ambiental no Brasil: o estado da arte de teses e dissertações produzidas entre 1981 e 2023,Projeto com financiamento externo,FAPEMIG,DANIELLE APARECIDA REIS LEITE,IFQ,Vigente
